game,platform,developer,genre,number_players,rating,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
King Arthur: Fallen Champions,PC,NeocoreGames,Strategy,,RP,"Sep 16, 2011",3,2,5,0,1,1,54,50
Dream Trigger 3D,3DS,"Art Co., Ltd.",Action,2  Online,E,"May 10, 2011",2,14,8,13,1,5,54,63
Duke Nukem Forever,PC,"Gearbox Software, 3D Realms",Action,1 Player,M,"Jun 13, 2011",7,24,17,222,89,123,54,58
No Time to Explain,PC,"tiny Build GAMES, tinyBuild",Action,,,"Aug 15, 2011",1,4,3,7,6,5,54,61
Jurassic Park: The Game,PC,Telltale Games,Adventure,No Online Multiplayer,T,"Nov 15, 2011",2,21,11,23,16,37,54,46
Achron,PC,Hazardous Software ,Strategy,,,"Aug 29, 2011",1,6,4,4,2,1,54,74
Frogger 3D,3DS,Alpha Unit,Action,4  Online,E,"Sep 20, 2011",0,6,5,1,1,0,54,62
Doctor Lautrec and the Forgotten Knights,3DS,WinkySoft,Miscellaneous,No Online Multiplayer,E10+,"Dec 13, 2011",2,10,7,0,1,1,53,61
A Game of Thrones: Genesis,PC,Cyanide,Strategy,,,"Sep 28, 2011",1,27,12,12,5,30,53,41
Tom Clancy's Splinter Cell 3D,3DS,Ubisoft,Action Adventure,No Online Multiplayer,T,"Apr 10, 2011",1,21,10,2,1,2,53,57
Alpha Polaris: A Horror Adventure Game,PC,Turmoil Games,Adventure,No Online Multiplayer,,"Jun 24, 2011",0,5,3,0,2,0,52,46
The Sims 3,3DS,EA Games,Simulation,No Online Multiplayer,T,"Mar 22, 2011",2,15,12,0,0,7,52,31
The Haunted: Hell's Reach,PC,ValuSoft,Action Adventure,,M,"Oct 24, 2011",0,7,1,19,4,2,51,77
Cubic Ninja,3DS,AQ Interactive,Miscellaneous,,E,"Jun 14, 2011",1,9,5,0,6,0,51,59
Call of Juarez: The Cartel,PC,Ubisoft,Action,,M,"Sep 13, 2011",0,6,6,1,6,18,51,34
Captain America: Super Soldier,3DS,High Voltage Software,Action,,T,"Oct 25, 2011",0,6,3,0,0,1,51,50
Spider-Man: Edge of Time,3DS,Beenox,Action,No Online Multiplayer,T,"Oct  4, 2011",0,5,2,2,0,0,50,62
Afterfall: InSanity,PC,Nicolas Intoxicate,Role-Playing,,,"Nov 25, 2011",1,12,7,16,11,15,50,59
Gods & Heroes: Rome Rising,PC,Heatwave Interactive,Role-Playing,Massively Multiplayer,T,"Jun 21, 2011",0,5,3,9,4,6,50,62
Trapped Dead,PC,"Headup Games, Crenetic Studios",Strategy,,,"Feb 25, 2011",0,8,6,5,4,12,50,47
Dungeons & Dragons: Daggerdale,PC,Bedlam Games,Role-Playing,,T,"May 25, 2011",1,6,6,1,8,8,49,36
Garshasp: The Monster Slayer,PC,Dead Mage Studio,Action Adventure,1 Player,,"May  9, 2011",1,11,7,3,3,7,49,64
Madden NFL Football,3DS,EA Tiburon,Sports,6  Online,E,"Mar 22, 2011",0,11,7,1,5,0,49,53
Theatre of War 3: Korea,PC,"1C, 1C Company",Strategy,,,"Mar 24, 2011",1,5,3,1,1,3,49,55
Bust-A-Move Universe,3DS,Arika,Puzzle,,E,"Mar 27, 2011",1,14,15,0,1,2,49,48
Driver: Renegade,3DS,Ubisoft,Driving,,M,"Sep  6, 2011",1,7,5,2,4,4,48,49
Grotesque Tactics 2: Dungeons & Donuts,PC,Silent Dreams,Strategy,,RP,"Nov 21, 2011",1,2,4,4,2,0,48,65
Stronghold 3,PC,FireFly Studios,Strategy,1-8 ,T,"Oct 24, 2011",1,14,14,27,10,119,47,30
Dead Horde,PC,DNS Development,Action Adventure,,,"Jul 27, 2011",0,3,4,1,2,6,45,51
Sword of the Stars II: Lords of Winter,PC,Kerberos Productions,Strategy,,T,"Oct 28, 2011",1,6,7,42,7,44,44,46
Combat of Giants: Dinosaurs 3D,3DS,Ubisoft,Action Adventure,,E10+,"Mar 27, 2011",0,7,11,2,0,0,44,53
Ghostbusters: Sanctum of Slime,PC,Behavior Studios,Action Adventure,,E10+,"Mar 23, 2011",0,3,9,1,0,3,43,44
"Harry Potter and the Deathly Hallows, Part 2",PC,,Action,,T,"Jul 12, 2011",1,1,10,8,0,8,43,46
Painkiller: Redemption,PC,DreamCatcher Interactive,Action,No Online Multiplayer,,"Feb 25, 2011",0,2,5,2,2,7,43,49
Pac-Man Party 3D,3DS,Namco Bandai Games,Miscellaneous,,E,"Nov  8, 2011",0,4,7,3,1,0,43,58
Asphalt 3D,3DS,Gameloft,Driving,,E10+,"Mar 22, 2011",2,13,22,0,1,6,43,43
Arcania: Fall of Setarrif,PC,Spellbound,Role-Playing,No Online Multiplayer,T,"Oct 24, 2011",0,3,7,0,0,33,41,19
Battle: Los Angeles,PC,Saber Interactive,Action,,T,"Mar 11, 2011",0,2,7,2,0,9,38,32
3D Classics: Urban Champion,3DS,Arika,Action,,E10+,"Aug 18, 2011",0,1,6,2,2,1,37,58
Shadow Harvest: Phantom Ops,PC,Black Lion Studios,Action,,M,"Apr  5, 2011",0,2,10,3,1,6,34,27
The Asskickers,PC,AGO Games,Action,,,"Jul 21, 2011",0,2,9,0,1,0,31,40
Transformers: Dark of the Moon - Stealth Force Edition,3DS,Behaviour Interactive,Action,1 Player,E10+,"Jun 14, 2011",0,0,13,0,1,3,30,33
Postal III,PC,Running With Scissors,First-Person,,,"Dec 21, 2011",0,1,19,13,12,40,24,30
FlatOut 3: Chaos & Destruction,PC,"Team6 Game Studios, Team 6 Games Studio",Driving,,,"Dec 13, 2011",0,2,20,12,6,69,23,32
Persona 4 Golden,VITA,Atlus,Role-Playing,Up to 40 ,M,"Nov 20, 2012",61,0,0,237,7,4,93,85
Dishonored,PC,Arkane Studios,Action Adventure,No Online Multiplayer,M,"Oct  8, 2012",29,0,0,470,129,53,91,84
Mark of the Ninja,PC,Klei Entertainment,Action,No Online Multiplayer,M,"Oct 16, 2012",14,0,0,124,12,13,91,80
Guild Wars 2,PC,ArenaNet,General,Massively Multiplayer,T,"Aug 28, 2012",68,1,0,649,134,152,90,81
The Walking Dead: A Telltale Games Series,PC,Telltale Games,Compilation,No Online Multiplayer,,"Apr 24, 2012",14,0,0,329,40,40,89,87
The Walking Dead: Episode 5 - No Time Left,PC,Telltale Games,Miscellaneous,,M,"Nov 21, 2012",20,1,0,52,10,6,89,88
Borderlands 2,PC,Gearbox Software,Action,Up to 4 ,M,"Sep 17, 2012",37,1,0,400,90,58,89,82
XCOM: Enemy Unknown,PC,Firaxis Games,Strategy,No Online Multiplayer,M,"Oct  8, 2012",56,1,0,362,118,88,89,82
Mass Effect 3,PC,BioWare,Role-Playing,Up to 4 ,M,"Mar  6, 2012",23,0,0,641,334,1038,89,58
Colors! 3D,3DS,Collecting Smiles,Miscellaneous,1-2 ,E,"Apr  5, 2012",15,0,0,11,0,0,89,78
Zero Escape: Virtue's Last Reward,3DS,ChunSoft,Adventure,No Online Multiplayer,M,"Oct 23, 2012",14,1,0,40,4,5,88,88
Far Cry 3,PC,Ubisoft Montreal,Action,Up to 4 ,M,"Dec  4, 2012",42,1,0,465,116,87,88,83
Rayman Origins,VITA,UBlart Montpellier,Action Adventure,,E10+,"Feb 15, 2012",54,0,0,52,2,1,88,84
Torchlight II,PC,Runic Games,Role-Playing,Online Multiplayer,,"Sep 20, 2012",66,1,0,423,49,23,88,85
Thirty Flights of Loving,PC,Blendo Games,Adventure,,,"Aug 20, 2012",10,0,0,20,14,35,88,50
Diablo III,PC,Blizzard Entertainment,Role-Playing,Up to 4 ,M,"May 15, 2012",81,4,1,1178,506,2998,88,41
LittleBigPlanet PS Vita,VITA,"Tarsier Studios, Double Eleven",Action,Up to 4 ,E,"Sep 18, 2012",70,1,0,60,4,2,88,86
Max Payne 3,PC,"Rockstar Games, Rockstar Studios",Action,,M,"May 31, 2012",28,2,0,277,109,135,87,77
Battlefield 3: Armored Kill,PC,EA DICE,Action,,M,"Sep 11, 2012",13,1,0,6,0,2,87,71
Total War: Shogun 2 - Fall of the Samurai,PC,Creative Assembly,Strategy,,T,"Mar 22, 2012",44,1,0,44,8,4,86,85
Football Manager 2013,PC,Sports Interactive,Sports,,,"Nov  1, 2012",35,2,0,19,10,19,86,68
Black Mesa,PC,Black Mesa Modification Team,Action,Online Multiplayer,,"Sep 14, 2012",9,0,0,98,6,3,86,89
FIFA Soccer 13,PC,Electronic Arts,Sports,,E,"Sep 25, 2012",7,0,0,17,9,19,86,66
Tribes: Ascend,PC,Hi-Rez Studios,Action,,T,"Apr 12, 2012",29,1,0,146,13,23,86,78
Rayman Origins,PC,UBlart Montpellier,Action,No Online Multiplayer,E10+,"Mar 29, 2012",11,0,0,52,4,5,86,84
Crashmo,3DS,Intelligent Systems,Miscellaneous,,E,"Nov 22, 2012",30,2,0,4,0,0,86,83
Tales From Space: Mutant Blobs Attack,VITA,DrinkBox Studios,Action,,E10+,"Feb 21, 2012",30,0,0,30,3,0,86,83
Mass Effect 3: Special Edition,WIIU,Straight Right,Action RPG,Up to 4 ,M,"Nov 13, 2012",32,1,0,18,3,4,85,76
Assassin's Creed III,WIIU,Ubisoft Quebec,Action Adventure,Up to 8 ,M,"Nov 18, 2012",25,1,0,27,10,2,85,72
Hotline Miami,PC,Dennaton,Action,,M,"Oct 23, 2012",48,2,1,214,32,18,85,86
Out of the Park Baseball 13,PC,Out Of The Park Developments,Sports,,,"Apr  9, 2012",7,1,0,40,0,2,85,78
Dark Souls: Prepare to Die Edition,PC,From Software,Role-Playing,Online Multiplayer,M,"Aug 24, 2012",36,5,1,371,61,153,85,76
NBA 2K13,WIIU,Visual Concepts,Sports,1 Player,E,"Nov 18, 2012",16,1,0,6,1,0,85,71
Sine Mora,VITA,"Digital Reality, Grasshopper Manufacture",Action,,M,"Nov 20, 2012",15,1,0,4,6,0,85,72
The Walking Dead: Episode 3 - Long Road Ahead,PC,Telltale Games,Miscellaneous,,M,"Aug 29, 2012",22,2,0,13,7,6,85,84
Darksiders II,WIIU,Vigil Games,Modern,1 Player,M,"Nov 18, 2012",34,2,0,15,3,3,85,81
Mortal Kombat,VITA,NetherRealm Studios,Action,,M,"May  1, 2012",47,4,0,50,6,2,85,78
Batman: Arkham City - Armored Edition,WIIU,"Rocksteady Studios, WB Games Montreal",Action Adventure,1 Player,T,"Nov 18, 2012",33,4,0,43,5,0,85,84
The Walking Dead: Episode 2 - Starved for Help,PC,Telltale Games,Miscellaneous,,M,"Jun 29, 2012",24,1,0,40,5,3,84,86
Pinball FX 2,PC,Zen Studios,Action,1-4 ,E,"Oct 27, 2012",7,0,0,24,3,2,84,77
PlanetSide 2,PC,Sony Online Entertainment,Role-Playing,,T,"Nov 20, 2012",38,4,0,268,106,154,84,70
Sound Shapes,VITA,SCEA,Action,,E,"Aug  7, 2012",46,9,0,25,9,2,84,78
Trine 2: Director's Cut,WIIU,"Frozenbyte, Inc.",Action,,E10+,"Nov 18, 2012",22,3,0,11,1,0,84,80
FTL: Faster Than Light,PC,Subset Games,Simulation,,,"Sep 14, 2012",41,1,0,273,35,55,84,84
New Super Mario Bros. U,WIIU,Nintendo,Action,No Online Multiplayer,E,"Nov 18, 2012",65,5,0,126,39,11,84,80
Zero Escape: Virtue's Last Reward,VITA,ChunSoft,Adventure,No Online Multiplayer,M,"Oct 23, 2012",28,4,0,49,2,2,84,88
Kid Icarus: Uprising,3DS,"Opus, Project Sora",Action Adventure,Up to 6 ,E10+,"Mar 23, 2012",66,8,1,170,7,4,83,88
Tekken Tag Tournament 2: Wii U Edition,WIIU,Namco Bandai Games,Action,Up to 4 ,T,"Nov 18, 2012",26,2,0,13,1,1,83,80
Lumines: Electronic Symphony,VITA,Q Entertainment,Miscellaneous,,E,"Feb 15, 2012",57,8,0,15,3,1,83,79
Oddworld: Stranger's Wrath HD,VITA,Just Add Water,Action Adventure,,T,"Dec 18, 2012",9,0,0,9,3,1,83,82
Orcs Must Die! 2,PC,Robot Entertainment,Action,,T,"Jul 30, 2012",39,4,0,66,24,3,83,79
Alan Wake,PC,Remedy Entertainment,Action Adventure,,T,"Feb 16, 2012",27,3,0,186,69,41,83,80
Gravity Rush,VITA,SCE Japan Studio,Action,,T,"Jun 12, 2012",62,11,0,134,20,0,83,86
Superbrothers: Sword & Sworcery EP,PC,Capy Games,Adventure,No Online Multiplayer,,"Apr 16, 2012",7,3,0,25,15,29,83,64
Counter-Strike: Global Offensive,PC,"Valve Software, Hidden Path Entertainment",Action,,M,"Aug 21, 2012",34,4,0,406,118,155,83,75
BlazBlue: Continuum Shift Extend,VITA,Arc System Works,Action,Up to 6 ,T,"Feb 14, 2012",26,2,0,11,2,0,83,75
Resident Evil: Revelations,3DS,Capcom,Action Adventure,2 ,M,"Feb  7, 2012",68,10,0,98,13,2,82,84
Professor Layton and the Miracle Mask,3DS,Level 5,Puzzle,No Online Multiplayer,E10+,"Oct 28, 2012",48,6,0,20,4,0,82,81
Super Stardust Delta,VITA,Housemarque,General,,E,"Feb 14, 2012",39,3,0,12,1,0,82,80
Sins of a Solar Empire: Rebellion,PC,Ironclad Games,Strategy,Online Multiplayer,T,"Jun 12, 2012",20,4,0,55,10,12,82,78
Art of Balance Touch!,3DS,Shin'en,Miscellaneous,,E,"Jun  7, 2012",8,1,0,2,0,0,82,75
Legend of Grimrock,PC,Almost Human,Role-Playing,,,"Apr 11, 2012",46,5,0,137,24,17,82,81
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,Gearbox Software,Action,,M,"Nov 20, 2012",7,1,0,7,4,0,82,74
Crusader Kings II,PC,Paradox Development Studio,Strategy,Online Multiplayer,T,"Feb 14, 2012",27,4,0,180,10,14,82,88
World of Warcraft: Mists of Pandaria,PC,Blizzard Entertainment,Fantasy,Massively Multiplayer,T,"Sep 25, 2012",38,4,0,146,36,227,82,50
The Walking Dead: Episode 1 - A New Day,PC,Telltale Games,Action,,M,"Apr 24, 2012",33,7,0,116,25,22,82,84
Botanicula,PC,Amanita Design,Adventure,,,"Apr 19, 2012",32,6,0,52,8,3,82,83
Art Academy: Lessons for Everyone,3DS,"Nintendo, Headstrong Games",Miscellaneous,,E,"Oct  1, 2012",13,1,0,5,2,0,81,76
Darksiders II,PC,Vigil Games,Action Adventure,,M,"Aug 13, 2012",21,2,0,93,30,21,81,79
Lone Survivor,PC,superflat games,Action Adventure,No Online Multiplayer,,"Apr 23, 2012",20,4,0,24,5,10,81,73
Call of Duty: Black Ops II,WIIU,Treyarch,Action,,M,"Nov 18, 2012",26,4,1,34,10,4,81,69
The Cat Lady,PC,Harvester Games,Adventure,,,"Dec  7, 2012",9,2,0,39,6,5,81,87
Vessel,PC,Strange Loop Games,Action,,E,"Mar  1, 2012",22,4,0,18,8,0,81,78
Kingdoms of Amalur: Reckoning,PC,Big Huge Games,Role-Playing,No Online Multiplayer,M,"Feb  7, 2012",22,3,0,201,101,54,81,67
Metal Gear Solid HD Collection,VITA,Armature Studio,Miscellaneous,1 Player,M,"Jun 12, 2012",30,6,0,40,2,1,81,85
Waveform,PC,Eden Industries,Puzzle,,,"Mar 20, 2012",7,1,0,8,3,1,81,74
Sleeping Dogs,PC,United Front Games,Modern,No Online Multiplayer,M,"Aug 13, 2012",18,5,0,196,50,23,81,83
Wargame: European Escalation,PC,Eugen Systems,Strategy,,,"Feb 22, 2012",23,5,0,67,11,9,81,81
Sid Meier's Civilization V: Gods & Kings,PC,Firaxis Games,Strategy,,E10+,"Jun 18, 2012",42,10,1,32,20,8,80,77
Mighty Switch Force! Hyper Drive Edition,WIIU,WayForward,Action,,E10+,"Nov 18, 2012",16,3,0,8,4,1,80,77
Pro Evolution Soccer 2013,PC,Konami,Sports,,E,"Sep 25, 2012",6,2,0,17,3,2,80,69
Uncharted: Golden Abyss,VITA,"Naughty Dog, Sony Bend",Action Adventure,,T,"Feb 15, 2012",64,16,0,119,28,7,80,74
Assassin's Creed III,PC,Ubisoft,Action Adventure,,M,"Nov 20, 2012",18,2,1,127,124,141,80,63
Mutant Mudds,3DS,Renegade Kid,Action,1 Player,E,"Jan 26, 2012",18,7,0,15,3,3,80,68
La-Mulana (Remake),PC,Nigoro,Action,,,"Jul 13, 2012",8,1,0,13,2,9,80,72
Natural Selection 2,PC,Unknown Worlds Entertainment,Action,Online Multiplayer,,"Oct 30, 2012",24,4,0,177,27,12,80,85
Borderlands 2: Captain Scarlett and Her Pirate's Booty,PC,Gearbox Software,Action,,M,"Oct 16, 2012",9,0,0,4,4,2,80,74
Skylanders Giants,WIIU,Vicarious Visions,Action,,E10+,"Nov 18, 2012",5,3,0,2,0,1,80,62
The Walking Dead: Episode 4 - Around Every Corner,PC,Telltale Games,Miscellaneous,,M,"Oct 10, 2012",17,7,0,16,2,1,80,85
Ultimate Marvel vs. Capcom 3,VITA,Capcom,Action,,T,"Feb 15, 2012",41,7,0,18,3,1,80,78
F1 2012,PC,Codemasters,Driving,,E,"Sep 17, 2012",12,3,0,11,4,8,80,71
Stealth Bastard Deluxe,PC,Curve Studios,Action,No Online Multiplayer,,"Nov 28, 2012",9,1,0,4,2,0,80,78
Stacking,PC,Double Fine Productions,Miscellaneous,1 Player,E10+,"Mar  6, 2012",8,1,0,7,4,0,80,77
FLY'N,PC,Ankama,Miscellaneous,,,"Nov  9, 2012",6,1,0,17,2,0,80,77
Dustforce,PC,Hitbox ,Action,,,"Jan 17, 2012",27,7,1,23,5,3,79,77
FIFA Soccer,VITA,Electronic Arts,Sports,,E,"Feb 15, 2012",38,7,0,16,5,0,79,72
Street Fighter X Tekken,VITA,Capcom,Action,Up to 8 ,T,"Oct 23, 2012",17,8,0,13,5,0,79,75
Need for Speed: Most Wanted - A Criterion Game,VITA,Criterion Games,Driving,Up to 4 ,E10+,"Oct 30, 2012",18,3,0,47,12,6,79,76
Wipeout 2048,VITA,Studio Liverpool,Driving,,E10+,"Feb 15, 2012",50,13,0,24,7,1,79,82
Hitman: Absolution,PC,"Io Interactive, Nixxes Software",Action Adventure,No Online Multiplayer,M,"Nov 19, 2012",18,8,0,131,97,110,79,71
Retro City Rampage,VITA,Vblank Entertainment Inc.,Action Adventure,,T,"Oct  9, 2012",9,5,0,8,2,0,79,78
ZEN Pinball 3D,3DS,Zen Studios,Action,1 Player,E10+,"Jan 12, 2012",13,5,0,5,0,0,79,77
Little Inferno,WIIU,Tomorrow Corporation,Miscellaneous,,T,"Nov 18, 2012",17,5,0,8,5,1,79,75
Street Fighter X Tekken,PC,"Capcom, QLOC",Action,,T,"May 11, 2012",6,2,0,10,10,7,79,63
Chivalry: Medieval Warfare,PC,Torn Banner Studios,Action,,,"Oct 16, 2012",19,5,0,189,64,56,79,78
Rift: Storm Legion,PC,Trion Worlds,Role-Playing,,T,"Nov 13, 2012",11,4,0,13,2,2,79,77
Need for Speed: Most Wanted - A Criterion Game,PC,Criterion Games,Driving,,E10+,"Oct 30, 2012",11,3,0,44,48,139,78,44
The Denpa Men: They Came By Wave,3DS,Genius Sonority Inc.,Role-Playing,1 Player,E,"Sep 27, 2012",13,5,0,5,2,1,78,72
Baldur's Gate: Enhanced Edition,PC,Overhaul Games,Role-Playing,No Online Multiplayer,T,"Nov 28, 2012",29,9,1,38,23,27,78,66
Transformers: Fall of Cybertron,PC,"High Moon Studios, Mercenary Technologies",Action,,T,"Aug 20, 2012",9,4,0,18,6,1,78,78
Metal Gear Solid: Snake Eater 3D,3DS,Kojima Productions,Action Adventure,1 Player,M,"Feb 21, 2012",34,12,0,31,6,3,78,79
MotorStorm RC,VITA,Evolution Studios,Driving,,E,"Mar  6, 2012",31,8,0,17,10,0,78,68
Theatrhythm Final Fantasy,3DS,Indies Zero ,Action,,E10+,"Jul  3, 2012",46,14,0,31,5,2,78,78
Fluidity: Spin Cycle,3DS,Curve Studios,Action,,E,"Dec 27, 2012",14,3,0,1,0,0,78,66
Chaos on Deponia,PC,Daedalic Entertainment,Adventure,No Online Multiplayer,T,"Nov  6, 2012",24,7,0,13,3,0,78,83
Tropico 4: Modern Times,PC,"Haemimont, Haemimont Games",Strategy,,T,"Mar 29, 2012",8,3,0,7,2,2,78,76
Elemental: Fallen Enchantress,PC,Stardock,Strategy,,,"Oct 23, 2012",9,4,0,46,17,18,78,73
Sonic & All-Stars Racing Transformed,WIIU,Sumo Digital,Driving,Up to 10 ,E10+,"Nov 18, 2012",16,6,0,31,1,0,78,80
Disgaea 3: Absence of Detention,VITA,Nippon Ichi Software,Strategy,1 Player,T,"Apr 17, 2012",21,7,0,22,1,0,78,76
New Super Mario Bros. 2,3DS,Nintendo,Action,No Online Multiplayer,E,"Aug 19, 2012",46,24,0,89,57,24,78,73
Deadlight,PC,Tequila Works,Action,,M,"Oct 25, 2012",5,2,0,34,50,26,78,74
Nintendo Land,WIIU,Nintendo,Miscellaneous,1-5 ,E10+,"Nov 18, 2012",42,19,0,85,39,1,77,79
Puddle,VITA,Neko Entertainment,Miscellaneous,1 Player,T,"Jul 24, 2012",8,2,0,0,2,1,77,55
Giana Sisters: Twisted Dreams,PC,Black Forest Games,Action,,,"Oct 22, 2012",15,5,1,29,6,5,77,77
Thomas Was Alone,PC,Mike Bithell,Action,No Online Multiplayer,,"Jun 30, 2012",13,4,0,73,12,4,77,81
3D Classics: Kid Icarus,3DS,Arika,Action,,E,"Mar 23, 2012",5,4,0,3,3,1,77,73
Quantum Conundrum,PC,Airtight Games,Miscellaneous,,E,"Jun 21, 2012",45,14,1,23,17,6,77,73
Endless Space,PC,Amplitude Studios,Strategy,Online Multiplayer,T,"Jul  4, 2012",27,8,1,81,56,34,77,73
Virtua Tennis 4: World Tour Edition,VITA,Sega,Sports,4  Online,E,"Feb 15, 2012",26,9,0,10,1,0,77,79
Penny Arcade Adventures: Episode Three,PC,Zeboyd Games,Role-Playing,,,"Jun 25, 2012",11,7,0,10,3,0,77,73
The Darkness II,PC,Digital Extremes,Action,1 Player,M,"Feb  6, 2012",15,5,0,63,20,5,77,76
ZombiU,WIIU,Ubisoft Montpellier,General,1-4 ,M,"Nov 18, 2012",49,20,1,178,31,14,77,77
Plants vs. Zombies,VITA,PopCap,Strategy,1 Player,E10+,"Feb 21, 2012",9,3,0,4,5,0,77,77
TERA,PC,Bluehole Studio,Role-Playing,Massively Multiplayer,M,"May  1, 2012",28,13,0,201,55,78,77,69
Magic: The Gathering - Duels of the Planeswalkers 2013,PC,Stainless Games,Strategy,,T,"Jun 20, 2012",7,4,0,10,5,15,77,69
Dokuro,VITA,Game Arts,Action,,E10+,"Oct 16, 2012",18,8,0,3,1,0,76,79
Resonance,PC,xii games,Adventure,,,"Jun 19, 2012",23,12,0,20,5,4,76,77
Ketzal's Corridors,3DS,Keys Factory,General,,E,"Apr 12, 2012",10,4,0,2,0,0,76,76
Miasmata,PC,IonFX,Adventure,,,"Nov 28, 2012",12,9,0,31,4,10,76,77
MLB 12: The Show,VITA,SCEA San Diego Studios,Sports,,E,"Mar  6, 2012",10,5,0,15,1,0,76,78
Spec Ops: The Line,PC,Yager,Action,,M,"Jun 25, 2012",9,7,0,217,53,17,76,82
Hot Shots Golf: World Invitational,VITA,Clap Hanz,Sports,,E,"Feb  7, 2012",34,21,0,17,4,0,76,81
Ys Origin,PC,Falcom,Role-Playing,No Online Multiplayer,,"May 31, 2012",4,3,0,25,1,0,76,84
Rhythm Thief & the Emperor's Treasure,3DS,Sega,Action,,E10+,"Jul 10, 2012",30,15,0,12,0,0,76,80
Your Shape: Fitness Evolved 2013,WIIU,Blue Byte,Miscellaneous,,E10+,"Nov 18, 2012",5,3,0,3,0,0,76,63
Crimson Shroud,3DS,Nex Entertainment,Role-Playing,,T,"Dec 13, 2012",22,8,2,6,1,1,76,79
Prototype 2,PC,Radical Entertainment,Action Adventure,,M,"Jul 24, 2012",9,3,0,28,23,22,76,64
Super Monday Night Combat,PC,Uber Entertainment,Action,,,"Apr 19, 2012",5,2,0,23,14,23,76,37
Dear Esther,PC,The Chinese Room,Adventure,No Online Multiplayer,,"Feb 14, 2012",29,5,3,115,52,82,75,65
Tiny & Big: Grandpa's Leftovers,PC,Black Pants,Adventure,,,"Jun 19, 2012",20,10,0,8,14,3,75,74
Madden NFL 13,WIIU,EA Tiburon,Sim,1-5 ,E,"Nov 13, 2012",6,3,0,5,1,1,75,68
Edna & Harvey: Harvey's New Eyes,PC,Daedalic Entertainment,Adventure,,,"Oct 16, 2012",11,8,0,5,2,0,75,78
Scribblenauts Unlimited,PC,5TH Cell,Puzzle,,E,"Nov 19, 2012",7,7,0,22,9,1,75,77
Tales of the Abyss,3DS,Bandai Namco Games,Role-Playing,No Online Multiplayer,T,"Feb 14, 2012",19,13,1,18,8,2,75,78
Paper Mario: Sticker Star,3DS,Intelligent Systems,Action Adventure,No Online Multiplayer,E,"Nov 11, 2012",45,23,1,44,46,64,75,57
Kingdom Hearts 3D: Dream Drop Distance,3DS,Square Enix,Role-Playing,No Online Multiplayer,E10+,"Jun  5, 2012",35,18,1,43,17,7,75,85
Hustle Kings,VITA,VooFoo Studios,Sports,,E,"Feb 21, 2012",15,7,0,0,1,0,75,74
Blacklight: Retribution,PC,Zombie Studios,Action,,,"Apr  3, 2012",14,6,0,69,23,37,75,75
Sonic & All-Stars Racing Transformed,VITA,Sumo Digital,Driving,Up to 8 ,E10+,"Dec 18, 2012",4,3,0,20,3,0,75,78
PlayStation All-Stars Battle Royale,VITA,Bluepoint Games,Action,Up to 8 ,T,"Nov 20, 2012",8,7,0,27,14,4,75,75
Iron Brigade,PC,Double Fine Productions,Action,,T,"Aug 13, 2012",3,4,0,1,2,3,75,53
escapeVektor,3DS,Nnooo,Miscellaneous,,E,"Dec 20, 2012",7,5,0,0,0,0,75,76
The Dark Eye: Chains of Satinav,PC,Daedalic Entertainment,Adventure,,,"Jun 22, 2012",18,6,0,13,3,3,75,77
Warp,PC,Trapdoor,Action,,M,"Mar 13, 2012",5,4,0,5,4,4,75,58
NightSky,3DS,Nicalis,Miscellaneous,1 Player,E,"Oct 25, 2012",10,4,0,5,0,0,75,76
Mass Effect 3: Leviathan,PC,BioWare,Role-Playing,,M,"Aug 28, 2012",5,2,0,7,8,5,75,68
Symphony,PC,Empty Clip Studios,Miscellaneous,,,"Aug  6, 2012",8,5,0,13,2,2,75,77
Frobisher Says!,VITA,Honeyslug Ltd,Miscellaneous,,E10+,"Oct 23, 2012",10,4,0,12,3,3,74,73
Harvest Moon 3D: A New Beginning,3DS,Marvelous AQL,Strategy,Up to 4 ,E,"Nov  6, 2012",14,7,0,11,2,2,74,78
Deponia,PC,Daedalic Entertainment,Adventure,No Online Multiplayer,,"Aug  6, 2012",20,13,0,31,16,6,74,82
The Sims 3 Supernatural,PC,The Sims Studio,Simulation,,T,"Sep  4, 2012",11,4,1,3,4,1,74,63
King's Bounty: Warriors of the North,PC,"Katauri Interactive, Katuri Interactive",Strategy,No Online Multiplayer,,"Oct 25, 2012",8,6,0,3,3,2,74,71
Incredipede,PC,Northway Games,Miscellaneous,1 Player,,"Oct 25, 2012",2,5,0,4,4,0,74,69
Unmechanical,PC,"Teotl Studios, Talawa Games",Action,No Online Multiplayer,,"Aug  8, 2012",13,11,0,13,3,0,74,78
Snapshot,PC,Retro Affect,Action,,E,"Aug 30, 2012",6,2,0,2,1,0,74,73
The Secret World,PC,Funcom,Role-Playing,Online Multiplayer,M,"Jul  3, 2012",32,22,1,420,40,58,74,83
TRI,PC,Rat King Entertainment,General,,,"Jul  8, 2012",6,3,0,5,2,0,74,75
Sakura Samurai: Art of the Sword,3DS,Grounding Inc.,Action,1 Player,T,"Feb  2, 2012",15,6,1,5,0,0,74,73
Call of Duty: Black Ops II,PC,Treyarch,Action,,M,"Nov 12, 2012",7,4,0,83,84,240,74,44
