Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
12,tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,meat,citrus fruit,berries,root vegetables,whole milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,margarine,rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,
11,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese,domestic eggs,brown bread,margarine,baking powder,waffles,,,,,,,,,,,,,,,,,,,,,
11,hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
11,chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles,,,,,,,,,,,,,,,,,,,,,
7,chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,
8,frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,turkey,pip fruit,salad dressing,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages,,,,,,,,,,,,,,,,,,,,,,
1,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sausage,whole milk,yogurt,rolls/buns,brown bread,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
5,whole milk,frozen meals,pastry,fruit/vegetable juice,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,citrus fruit,sugar,sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,
9,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,pork,other vegetables,dessert,yogurt,oil,soda,,,,,,,,,,,,,,,,,,,,,,,,,
6,beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,packaged fruit/vegetables,yogurt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UHT-milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,beef,citrus fruit,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sausage,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,onions,soda,chewing gum,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,packaged fruit/vegetables,cream cheese,white bread,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beef,white bread,pastry,pasta,soap,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner,,,,,,,,,,,,,,,,,,,,,,,
1,hair spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,chicken,whole milk,spices,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pork,citrus fruit,brown bread,pastry,sugar,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,meat,hard cheese,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,yogurt,brown bread,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,soda,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
2,grapes,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,domestic eggs,brown bread,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,canned fish,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,other vegetables,yogurt,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,berries,root vegetables,other vegetables,curd,butter milk,cream cheese,roll products,margarine,misc. beverages,specialty chocolate,detergent,,,,,,,,,,,,,,,,,,,,,
2,margarine,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,yogurt,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,
3,hamburger meat,white bread,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,yogurt,mayonnaise,rolls/buns,soda,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,meat,hamburger meat,rubbing alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,citrus fruit,whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,salt,salty snack,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,curd,beverages,cream cheese,rolls/buns,pastry,soda,cake bar,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
3,other vegetables,butter,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,whole milk,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tropical fruit,whole milk,frozen meals,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,beef,hamburger meat,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,berries,whipped/sour cream,cereals,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whipped/sour cream,canned beer,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,root vegetables,domestic eggs,margarine,chocolate marshmallow,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,whole milk,curd,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
10,berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar,detergent,,,,,,,,,,,,,,,,,,,,,,
5,rolls/buns,brown bread,pastry,coffee,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee,,,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,berries,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,butter milk,frozen meals,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,frozen dessert,salty snack,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,tropical fruit,butter milk,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,butter milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags,,,,,,,,,,,,,,,,,,,,,
7,hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,liver loaf,other vegetables,cream cheese,pastry,soap,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
3,hard cheese,pastry,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,tropical fruit,condensed milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hamburger meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,onions,whole milk,beverages,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,yogurt,rolls/buns,pastry,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,domestic eggs,rolls/buns,dish cleaner,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,meat,other vegetables,whole milk,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dish cleaner,bathroom cleaner,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,whole milk,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,tropical fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,baking powder,bottled water,salty snack,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
5,citrus fruit,tropical fruit,onions,other vegetables,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,ham,hamburger meat,whole milk,soda,softener,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
4,domestic eggs,rolls/buns,specialty bar,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,
6,specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beef,berries,whipped/sour cream,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,pet care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,chicken,yogurt,sliced cheese,rolls/buns,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,pastry,bottled water,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,berries,pet care,cake bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,oil,canned fruit,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tropical fruit,other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,UHT-milk,cream cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bottled water,canned beer,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,onions,other vegetables,pastry,bottled water,soda,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dessert,oil,cat food,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,
7,rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy,,,,,,,,,,,,,,,,,,,,,,,,,
7,beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,coffee,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
6,soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sausage,ham,other vegetables,ice cream,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,beef,root vegetables,other vegetables,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,butter,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pork,ice cream,hygiene articles,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,
8,sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products,,,,,,,,,,,,,,,,,,,,,,,,
3,bottled water,misc. beverages,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
2,herbs,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,beef,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,honey,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,rolls/buns,pastry,snack products,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,frankfurter,sausage,liver loaf,root vegetables,curd,frozen vegetables,rolls/buns,semi-finished bread,hygiene articles,photo/film,,,,,,,,,,,,,,,,,,,,,,
3,other vegetables,whole milk,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,root vegetables,pickled vegetables,soda,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,margarine,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,whipped/sour cream,specialty cheese,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,hamburger meat,whole milk,curd,pasta,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,hamburger meat,citrus fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,cream cheese,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese,white bread,coffee,long life bakery product,chocolate,baby cosmetics,,,,,,,,,,,,,,,,,,
2,frankfurter,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bottled water,bottled beer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,meat,other vegetables,hard cheese,frozen meals,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
2,dessert,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,packaged fruit/vegetables,UHT-milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,beverages,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ham,mustard,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,brown bread,soda,salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,cream cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,pastry,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled beer,nut snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pet care,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,citrus fruit,other vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pork,other vegetables,frozen vegetables,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,white wine,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,dessert,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pip fruit,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sugar,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tropical fruit,pip fruit,rolls/buns,coffee,fruit/vegetable juice,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
10,root vegetables,cream cheese,spread cheese,frozen dessert,white bread,bottled water,soda,misc. beverages,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,
2,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,tropical fruit,other vegetables,yogurt,bottled water,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,brown bread,sugar,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
1,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,coffee,detergent,hygiene articles,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers,,,,,,,,,,,,,,,
2,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,yogurt,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,
5,hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,packaged fruit/vegetables,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,other vegetables,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,
2,herbs,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,spread cheese,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tropical fruit,whole milk,beverages,white bread,pasta,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,white bread,bottled water,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,coffee,chewing gum,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow,,,,,,,,,,,,,,,,,,,,,,,
