CountryCode,IOC,FIFA,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
TZA,TAN,TAN,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,The new base year is 2007. Tanzania reports using a blend of SNA 1993 and SNA 2008.,Sub-Saharan Africa,Low income,TZ,2007,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014/15","Expenditure survey/budget survey (ES/BS), 2011/12",NA,2007/08,2010,2013,2002
THA,THA,THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,2002,NA,Value added at producer prices (VAP),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2011",NA,2013,2006,2013,2007
BHS,BAH,BAH,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas,BS,Bahamian dollar,NA,Latin America & Caribbean,High income: nonOECD,BS,2006,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,NA,NA,NA,NA,NA,2013,NA
GMB,GAM,GAM,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,"Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.",Sub-Saharan Africa,Low income,GM,2004,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010",NA,NA,2004,2013,2e3
TMP,NA,NA,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,U.S. dollar,"Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",East Asia & Pacific,Lower middle income,TP,2010,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 2008 System of National Accounts methodology.,NA,NA,NA,NA,Special trade system,NA,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2009/10","Living Standards Measurement Study Survey (LSMS), 2007",NA,2010. Population and Housing Census.,NA,2013,2004
TGO,TOG,TOG,Togo,Togo,Republic of Togo,TG,West African CFA franc,"April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",Sub-Saharan Africa,Low income,TG,2000,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2013/14","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011",NA,2011/2012,NA,2013,2002
TON,TGA,TGA,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,"2013 national accounts estimates are based on IMF reports. Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.",East Asia & Pacific,Upper middle income,TO,2010/11,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,General Data Dissemination System (GDDS),2006,NA,NA,NA,NA,NA,2012,NA
TTO,TTO,TRI,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,Trinidad and Tobago dollar,NA,Latin America & Caribbean,High income: nonOECD,TT,2000,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 1992",Yes,NA,2006,2010,2e3
TUN,TUN,TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,NA,Middle East & North Africa,Upper middle income,TN,2010,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey (MICS), 2011/12","Integrated household survey (IHS), 2010",NA,2014/ 2015,2010,2013,2001
TUR,TUR,TUR,Turkey,Turkey,Republic of Turkey,TR,New Turkish lira,NA,Europe & Central Asia,Upper middle income,TR,1998,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Turkey Demographic and Health Survey (TDHS), 2008","Expenditure survey/budget survey (ES/BS), 2011",Yes,NA,2009,2013,2003
TKM,TKM,TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,"On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",Europe & Central Asia,Upper middle income,TM,2005,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,"198795, 19972007",NA,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,NA,NA,2012,"Multiple Indicator Cluster Survey (MICS), 2006","Living Standards Measurement Study Survey (LSMS), 1998",NA,NA,NA,2e3,2004
TCA,NA,TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,U.S. dollar,NA,Latin America & Caribbean,High income: nonOECD,TC,NA,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,NA,NA,General trade system,NA,NA,2012,NA,NA,Yes,NA,NA,2012,NA
TUV,TUV,NA,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,2013 national accounts estimates are based on IMF reports. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.,East Asia & Pacific,Upper middle income,TV,2005,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,General trade system,NA,General Data Dissemination System (GDDS),2012,NA,NA,NA,NA,NA,2008,NA
UGA,UGA,UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,Fiscal year end: June 30; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2009/10. Uganda reports using SNA 2008. Price valuation is in producer prices.,Sub-Saharan Africa,Low income,UG,2009/10,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Malaria Indicator Survey (MIS), 2014","Integrated household survey (IHS), 2012/13",NA,2008/ 2009,NA,2013,2002
UKR,UKR,UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,NA,Europe & Central Asia,Lower middle income,UA,Original chained constant price data are rescaled.,2003,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,198795,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2001,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2013",Yes,2012 /2013,2004,2013,2005
ARE,UAE,UAE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,"April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",Middle East & North Africa,High income: nonOECD,AE,2007,NA,Value added at producer prices (VAP),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"World Health Survey (WHS), 2003",NA,NA,2012,2010,2011,2005
GBR,GBR,NA,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,NA,Europe & Central Asia,High income: OECD,GB,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Income survey (IS), 2010",Yes,2010,2010,2013,2007
USA,USA,USA,United States,United States,United States of America,US,U.S. dollar,Fiscal year end: September 30; reporting period for national accounts data: CY.,North America,High income: OECD,US,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,NA,"Labor force survey (LFS), 2010",Yes,2012,2008,2013,2005
UMC,NA,NA,Upper middle income,Upper middle income,Upper middle income,XT,NA,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2014 GNI per capita was between $4,126 and $12,735.",NA,NA,XT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
URY,URU,URU,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,"In 2011, the Central Bank revised national accounts data for 2006 onward.",Latin America & Caribbean,High income: nonOECD,UY,2005,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2012/13","Integrated household survey (IHS), 2013",Yes,2011,2009,2013,2e3
UZB,UZB,UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek sum,NA,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,1997,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,199095,NA,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,NA,1989,"Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2011",Yes,NA,NA,NA,2005
VUT,VAN,VAN,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,"2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",East Asia & Pacific,Lower middle income,VU,2006,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2007",NA,NA,2007,NA,2011,NA
VEN,VEN,VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,NA,Latin America & Caribbean,High income: nonOECD,VE,1997,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2000","Integrated household survey (IHS), 2012",Yes,2007,NA,2011,2e3
VNM,VIE,VIE,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,"Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.",East Asia & Pacific,Lower middle income,VN,2010,NA,Value added at producer prices (VAP),Blend,NA,Country uses the 1993 System of National Accounts methodology.,1991,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2013/14","Integrated household survey (IHS), 2012",Yes,2011/ 2012,2011,2013,2005
VIR,ISV,VIR,Virgin Islands,Virgin Islands (U.S.),Virgin Islands of the United States,VI,U.S. dollar,NA,Latin America & Caribbean,High income: nonOECD,VI,1982,NA,NA,NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,NA,NA,NA,General trade system,NA,NA,2010,NA,NA,Yes,2007,NA,NA,NA
WBG,NA,NA,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,The new base year is 2004.,Middle East & North Africa,Lower middle income,GZ,2004,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2011",NA,NA,2010,NA,2005
WLD,NA,NA,World,World,World,1W,NA,World aggregate.,NA,NA,1W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEM,YEM,YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The new base year is 2007.",Middle East & North Africa,Lower middle income,RY,2007,NA,Value added at producer prices (VAP),IDA,NA,Country uses the 1993 System of National Accounts methodology.,199096,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2005",NA,NA,2009,2013,2005
ZMB,ZAM,ZAM,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"The new base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.",Sub-Saharan Africa,Lower middle income,ZM,2010,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,199092,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2013/14","Integrated household survey (IHS), 2010",NA,2010. Population and Housing Census.,NA,2013,2002
ZWE,ZIM,ZIM,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",Sub-Saharan Africa,Low income,ZW,2009,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,"1991, 1998",2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2014","Integrated household survey (IHS), 2011/12",NA,NA,NA,2013,2002
