id,text,author,likes
1114,All we demanded was our right to twinkle.,Marilyn Monroe,4133 likes
1115,"Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.",Jane Austen,4128 likes
1116,"It's not because I want to make out with her.""",John Green,4121 likes
1117,I think... if it is true that ,Leo Tolstoy,4120 likes
1118,"Why is it,"" he said, one time, at the subway entrance, ""I feel I've known you so many years?""",Ray Bradbury,4116 likes
1119,"You are imperfect, permanently and inevitably flawed. And you are beautiful.",Amy Bloom,4114 likes
1120,The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.,Albert Einstein,4113 likes
1121,"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.",Bertrand Russell,4113 likes
1122,"The true soldier fights not because he hates what is in front of him, but because he loves what is behind him.",G.K. Chesterton,4112 likes
1123,"The so-called ‘psychotically depressed’ person who tries to kill herself doesn’t do so out of quote ‘hopelessness’ or any abstract conviction that life’s assets and debits do not square. And surely not because death seems suddenly appealing. The person in whom Its invisible agony reaches a certain unendurable level will kill herself the same way a trapped person will eventually jump from the window of a burning high-rise. Make no mistake about people who leap from burning windows. Their terror of falling from a great height is still just as great as it would be for you or me standing speculatively at the same window just checking out the view; i.e. the fear of falling remains a constant. The variable here is the other terror, the fire’s flames: when the flames get close enough, falling to death becomes the slightly less terrible of two terrors. It’s not desiring the fall; it’s terror of the flames. And yet nobody down on the sidewalk, looking up and yelling ‘Don’t!’ and ‘Hang on!’, can understand the jump. Not really. You’d have to have personally been trapped and felt flames to really understand a terror way beyond falling.",David Foster Wallace,4103 likes
1124,"I was thinking about the first time I ever saw you,"" he said, ""and how after that I couldn't forget you. I wanted to, but I couldn't stop myself. I forced Hodge to let me be the one who came to find you and bring you back to the Institue. And even back then, in that stupid coffee shop, when I saw you sitting on that couch with Simon, even then that felt wrong to me-- I should have been the one sitting with you. The one who made you laugh like that. I couldn't get rid of that feeling. That it should have been me. And the more I knew you, the more I felt it--it had never been like that for me before. I'd always wanted a girl and then gotten to know her and not wanted her anymore, but with you the feeling just got stronger and stronger until that night when you showed up at Renwick's and I knew.",Cassandra Clare,4099 likes
1125,There is no real ending. It’s just the place where you stop the story.,Frank Herbert,4096 likes
1126,"There's plenty of sense in nonsense sometimes, if you wish to look for it.",Cassandra Clare,4095 likes
1127,Don’t grieve. Anything you lose comes round in another form.,Jalaluddin Rumi,4091 likes
1128,"Goodbye,"" said the fox. ""And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.",Antoine de Saint-Exupéry,4088 likes
1129,"A book, too, can be a star, a living fire to lighten the darkness, leading out into the expanding universe.",Madeleine L'Engle,4084 likes
1130,"One love, one heart, one destiny.",Bob Marley,4078 likes
1131,"After nourishment, shelter and companionship, stories are the thing we need most in the world.",Philip Pullman,4075 likes
1132,"Of all forms of caution, caution in love is perhaps the most fatal to true happiness.",Bertrand Russell,4074 likes
1133,Learn what is to be taken seriously and laugh at the rest.,Hermann Hesse,4070 likes
1134,Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,C. JoyBell C.,4070 likes
1135,It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story.,Patrick Rothfuss,4068 likes
1136,"but for my own part, if a book is well written, I always find it too short.",Jane Austen,4065 likes
1137,To go wrong in one's own way is better than to go right in someone else's.,Fyodor Dostoyevsky,4062 likes
1138,"Despite my ghoulish reputation, I really have the heart of a small boy. I keep it in a jar on my desk.",Robert Bloch,4054 likes
1139,I have the choice of being constantly active and happy or introspectively passive and sad. Or I can go mad by ricocheting in between.,Sylvia Plath,4048 likes
1140,"But a mermaid has no tears, and therefore she suffers so much more.",Hans Christian Andersen,4043 likes
1141,Do your thing and don't care if they like it.,Tina Fey,4035 likes
1142,"At some point, you just pull off the Band-Aid, and it hurts, but then it's over and you're relieved.",John Green,4035 likes
1143,"Don't stop there. I suppose there are also, what, vampires and werewolves and zombies?""",Cassandra Clare,4034 likes
1144,"You don’t know what goes on in anyone’s life but your own. And when you mess with one part of a person’s life, you’re not messing with just that part. Unfortunately, you can’t be that precise and selective. When you mess with one part of a person’s life, you’re messing with their entire life. Everything. . . affects everything.",Jay Asher,4033 likes
1145,Sanity and happiness are an impossible combination.,Mark Twain,4032 likes
1146,"I never change, I simply become more myself.",Joyce Carol Oates,4031 likes
1147,Poets have been mysteriously silent on the subject of cheese.,G.K. Chesterton,4031 likes
1148,"It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.",Stephenie Meyer,4027 likes
1149,Don't take life too seriously. Punch it in the face when it needs a good hit. Laugh at it.,Colleen Hoover,4024 likes
1150,I go to seek a Great Perhaps.,François Rabelais,4023 likes
1151,"That was the thing. You never got used to it, the idea of someone being gone. Just when you think it's reconciled, accepted, someone points it out to you, and it just hits you all over again, that shocking.",Sarah Dessen,4023 likes
1152,"When someone leaves, it's because someone else is about to arrive.",Paulo Coelho,4023 likes
1153,"If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?",Jodi Picoult,4023 likes
1154,He's a wallflower. You see things. You keep quiet about them. And you understand.,Stephen Chbosky,4022 likes
1155,"Oh well... I'd just been thinking, if you had died, you'd have been welcome to share my toilet.",J.K. Rowling,4015 likes
1156,You don't remember what happened. What you remember becomes what happened.,John Green,4009 likes
1157,An intellectual says a simple thing in a hard way. An artist says a hard thing in a simple way.,Charles Bukowski,4008 likes
1158,Don't Panic.,Douglas Adams,4008 likes
1159,You'll stay with me?',J.K. Rowling,4007 likes
1160,"Isabelle drifted over, Jace a pace behind her. She was wearing a long black dress with boots and an even longer cutaway coat of soft green velvet, the color of moss. ""I can't believe you did it!"" she exclaimed. ""How did you get Magnus to let Jace leave?""",Cassandra Clare,4005 likes
